signal_set,signal_set_description,run_name,description,wrapper_config_path,suite_run_dir,runtime_seconds,error,experiment_id,experiment_display_name,cv_strategy,model,model_display,summary_model_name,status,accuracy,balanced_accuracy,macro_f1,weighted_f1,auc,loss
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Naključni,Random,success,0.502143722158088,0.5018226182426754,0.5005757636489282,0.5033113494500314,0.5018226182426754,17.944559116129877
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Večinski,Majority,success,0.524662571057297,0.5,0.3435980740566061,0.3621289940013816,0.5,17.132897531684893
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,SVM,success,0.6748325843286622,0.6742136402115259,0.6719894556372916,0.6744529807804008,0.7264588954865491,0.6136712756447292
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,success,0.6967544093630824,0.6960579426232282,0.694385684623983,0.6968893583581742,0.7659593332850421,0.5776623910470702
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,success,0.6702361757085697,0.6688227255448567,0.6667015135912511,0.6695134297463384,0.7256499951303977,0.6165807561091585
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,GazeMAE_MLP,GazeMAE,GazeMAE_MLP,success,0.6571722317251805,0.6581058454354555,0.6515701970001053,0.6536031140800034,0.718965060384454,0.7193995092715874
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,success,0.6435868045139446,0.6459604920720923,0.6407159485206533,0.6422519725037323,0.7067404804834307,0.6183869114943913
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCN-mean,HeteroGCNMean,success,0.61687066166325,0.6129037154751833,0.5921842898053361,0.5968173894737421,0.646853904955826,0.6513856110118683
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,success,0.6590385526459658,0.6620867876052883,0.6583401023103069,0.6596747037250751,0.7216924027000484,0.616450948374612
gaze_only,Gaze x/y nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, GazeMAE_MLP, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_only/2026-06-12_16-29-11,2832.41,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCN-MLP-w,HeteroGCNMLPWeights,success,0.6431561810072292,0.6455824608553307,0.6398327018752296,0.6413862061388347,0.7032215769880844,0.6321677210785095
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Naključni,Random,success,0.5075948074458505,0.5074464494351583,0.5061242189467087,0.5087145391479237,0.5074464494351583,17.74808208742325
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Večinski,Majority,success,0.5208403083483522,0.5,0.3419132342876345,0.3578541481214352,0.5,17.270665843928242
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,SVM,success,0.7052366788043108,0.7030330950257638,0.6965721323794257,0.6992699307957759,0.7807075764137288,0.5812192163666134
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,success,0.6956831170617795,0.6954878828403006,0.6880107400339268,0.6901193934240458,0.7822842988647388,0.5816145427528516
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,success,0.6870851173342352,0.6845514738384461,0.6757637207396022,0.6786954971026583,0.7782107139536707,0.5925085273708658
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_GazeMAE_gaze_pupil,MOMENTxGazeMAE,MOMENT_GazeMAE_gaze_pupil,success,0.6557288588774027,0.659132790353313,0.652481653578045,0.65353243547424,0.7303965062275228,0.7349259358946473
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,success,0.6542522662632597,0.6506753918674816,0.6392471537454273,0.6425297143655844,0.7313657101854184,0.6986727402323768
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCN-mean,HeteroGCNMean,success,0.6383172967331715,0.6326185411799499,0.6111455138905036,0.6157673242833902,0.7278437010934039,0.7045410360608783
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLP,HeteroGCN-MLP,HeteroGCNMLP,success,0.6424875596848637,0.6378746109111467,0.6284189669211113,0.6321233881512319,0.7227482818669697,0.68929047811599
gaze_pupil,Gaze x/y plus pupil nodes with temporal and spatial graph relations.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_GazeMAE_gaze_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/gaze_pupil/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/gaze_pupil/2026-06-12_17-31-09,2299.412,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMLPWeights,HeteroGCN-MLP-w,HeteroGCNMLPWeights,success,0.6549581530472829,0.6515424836028939,0.6438413888466991,0.6471664612993873,0.7323054003136363,0.680121525412514
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Random,Naključni,Random,success,0.5071949985631246,0.5070137970952062,0.5057097325657595,0.5083383625211126,0.5070137970952062,17.762492660214114
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,Majority,Večinski,Majority,success,0.5215633451161344,0.5,0.3422303443871374,0.3586660014579939,0.5,17.24460495728271
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,SVM,SVM,SVM,success,0.6206447185645096,0.6167019737658981,0.6072075322260577,0.6109734316804397,0.6650443999218004,0.655348439801695
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,LightGBM,LightGBM,LightGBM,success,0.6306245562459365,0.6274013278903823,0.6189987598287933,0.6223303576221607,0.6874015420544562,0.6492784249993099
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MLP,MLP,MLP,success,0.6199279133454964,0.6153216929557258,0.6030034855988741,0.6066995169797683,0.6763717231385865,0.6658497415847382
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,MOMENT_pupil,MOMENT,MOMENT_pupil,success,0.6047737021599708,0.6057047402817032,0.6008432291293861,0.6029498533387859,0.648596498116163,0.6773973949429178
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,BasicGCN,GCN,BasicGCN,success,0.6104819210471736,0.6067410055761372,0.5835936854137552,0.5873030781968797,0.6746923745865304,0.6758531615847633
pupil_only,Pupil left/right nodes with temporal graph relations only.,Models,"Baselines and GNN variants on one shared suite run and aligned CV folds: Random, Majority, LightGBM, SVM, MLP, MOMENT_pupil, BasicGCN, HeteroGCNMean, HeteroGCNMLP, HeteroGCNMLPWeights.",results/quick_v1_v2_comparison/2026-06-12_16-29-08/generated_wrapper_configs/pupil_only/Models.yaml,results/quick_v1_v2_comparison/2026-06-12_16-29-08/model_runs/pupil_only/2026-06-12_17-16-23,886.373,,multiclass_table6_valence_3class,Table-6 Valence,subject_kfold,HeteroGCNMean,HeteroGCN-mean,HeteroGCNMean,success,0.5858081282979121,0.5829755377969621,0.5572952921174207,0.5607457714889366,0.6449574314050006,0.6797102845850445
